user_id,product_id,event_type,timestamp
903,440,view,2024-02-24 12:03:08
689,3593,add_to_cart,2023-10-07 18:29:31
858,4997,add_to_cart,2023-12-09 01:10:23
331,1309,view,2024-10-22 16:54:28
182,748,view,2024-04-16 22:57:57
75,2380,view,2025-03-02 14:56:19
233,582,view,2024-11-09 15:39:43
939,3241,view,2023-11-19 16:23:54
847,1930,view,2024-05-03 21:57:39
884,2241,view,2024-09-09 12:02:37
173,1327,view,2025-03-22 20:46:42
951,3428,view,2024-08-24 11:02:35
742,4121,view,2025-03-27 13:45:20
878,3112,add_to_cart,2024-01-14 20:54:52
878,2529,view,2024-01-09 14:53:40
625,287,add_to_cart,2025-04-10 09:42:50
674,4269,add_to_cart,2024-03-30 07:22:40
19,1241,view,2024-02-25 04:18:50
825,3245,view,2024-11-07 11:19:45
292,1167,view,2024-09-17 19:23:00
952,3899,purchase,2024-05-04 12:42:07
219,1327,add_to_cart,2024-10-27 01:50:36
843,2463,view,2025-07-31 12:21:10
337,3667,view,2023-10-18 14:24:51
284,2425,view,2024-04-19 09:41:26
638,1728,view,2024-05-16 07:31:00
384,2025,view,2023-11-28 13:48:31
528,2665,add_to_cart,2024-08-05 12:00:55
464,60,view,2024-05-21 14:11:54
312,1973,view,2024-08-22 06:59:02
908,2238,add_to_cart,2024-10-20 03:59:31
604,349,view,2024-05-22 23:41:53
325,828,view,2024-01-08 07:38:20
321,404,view,2025-03-25 03:40:40
83,379,view,2023-09-11 03:05:41
64,4729,view,2024-12-13 07:18:25
75,158,purchase,2024-02-14 11:40:39
204,4564,view,2023-11-07 02:08:59
676,407,view,2025-03-05 14:41:00
530,1751,view,2024-03-29 14:23:56
62,227,add_to_cart,2025-04-13 08:08:14
929,3799,purchase,2024-02-05 06:54:03
642,4102,view,2024-03-07 18:45:15
2,3613,add_to_cart,2024-02-27 23:52:43
469,458,view,2025-05-11 00:12:04
297,3675,add_to_cart,2024-06-06 19:45:05
947,2620,view,2023-10-30 06:28:36
48,2919,purchase,2025-06-30 14:57:13
566,82,view,2025-05-09 03:52:26
693,3168,view,2025-06-15 23:14:48
487,1286,view,2024-09-25 19:33:53
92,4509,add_to_cart,2025-04-24 18:34:07
595,2025,purchase,2025-07-05 01:53:34
240,1965,view,2024-12-21 20:19:42
979,4164,view,2024-12-04 00:43:17
561,2687,add_to_cart,2024-07-14 11:31:16
818,3481,view,2024-03-29 04:19:35
801,4938,add_to_cart,2025-01-12 10:09:13
159,2725,add_to_cart,2023-09-20 07:02:33
372,314,view,2023-11-05 22:53:27
365,2508,view,2025-02-05 12:45:22
325,4259,view,2025-02-01 13:59:56
47,3757,add_to_cart,2024-06-12 16:05:11
977,789,view,2024-01-04 15:24:26
854,1002,view,2025-03-10 03:34:52
846,1015,view,2024-04-28 02:20:10
521,4264,view,2025-05-06 05:39:25
868,4936,view,2024-04-01 08:42:06
47,1937,add_to_cart,2024-07-25 15:23:16
81,1993,view,2025-01-20 04:19:38
458,143,add_to_cart,2025-07-18 18:00:41
92,804,view,2023-11-16 12:24:54
561,2121,add_to_cart,2025-03-20 22:53:22
784,3652,view,2024-04-08 11:23:00
