user_id,signup_date
1,2022-01-20
2,2022-05-23
3,2025-01-08
4,2024-06-06
5,2023-11-28
6,2022-07-11
7,2021-02-22
8,2023-06-21
9,2020-11-18
10,2025-01-19
11,2024-03-17
12,2023-08-11
13,2021-08-19
14,2023-05-05
15,2021-05-29
16,2023-04-30
17,2022-08-30
18,2024-07-31
19,2023-11-06
20,2022-12-18
21,2022-01-12
22,2021-06-29
23,2021-04-08
24,2022-12-23
25,2020-08-31
26,2023-03-18
27,2024-02-03
28,2021-03-03
29,2022-01-14
30,2024-05-12
31,2020-10-21
32,2020-11-23
33,2022-03-17
34,2021-07-09
35,2024-04-03
36,2021-08-22
37,2025-02-01
38,2023-05-11
39,2025-01-25
40,2024-12-08
41,2020-11-05
42,2022-12-17
43,2025-08-20
44,2025-03-31
45,2022-08-27
46,2025-03-26
47,2024-02-05
48,2021-03-23
49,2023-02-25
50,2023-12-22
51,2025-06-30
52,2023-12-27
53,2024-01-12
54,2021-02-07
55,2021-05-16
56,2021-01-26
57,2022-12-25
58,2023-04-22
59,2024-01-17
60,2021-04-15
61,2020-11-07
62,2023-08-25
63,2025-05-24
64,2022-06-08
65,2020-09-08
66,2022-11-14
67,2023-12-17
68,2020-11-27
69,2024-04-28
70,2021-08-03
71,2021-11-10
72,2024-02-06
73,2023-06-05
74,2023-04-13
75,2020-09-24
76,2021-05-09
77,2021-09-27
78,2021-08-12
79,2021-09-29
80,2021-09-28
81,2021-01-09
82,2022-11-05
83,2023-07-21
84,2023-08-04
85,2025-08-12
86,2021-12-22
87,2024-07-10
88,2025-02-24
89,2024-01-06
90,2025-03-21
91,2021-04-15
92,2023-09-04
93,2021-08-25
94,2022-03-27
95,2024-12-09
96,2021-03-10
97,2021-01-27
98,2021-11-08
99,2021-03-27
100,2022-01-24
101,2025-04-16
102,2025-03-11
103,2025-01-23
104,2022-04-06
105,2024-10-15
106,2022-05-02
107,2023-08-10
108,2024-04-12
109,2021-04-28
110,2023-06-06
111,2022-03-15
112,2022-10-22
113,2021-08-06
114,2022-07-25
115,2024-09-21
116,2021-05-27
117,2024-07-24
118,2024-08-04
119,2023-10-24
120,2022-05-01
121,2021-09-30
122,2025-03-24
123,2024-03-06
124,2024-12-07
125,2024-01-04
126,2023-03-06
127,2023-04-01
128,2021-01-16
129,2024-11-28
130,2021-02-23
131,2022-08-31
132,2024-06-26
133,2023-11-11
134,2024-05-05
135,2024-05-29
136,2023-12-28
137,2022-09-24
138,2024-08-16
139,2022-11-11
140,2024-11-15
141,2024-11-24
142,2021-09-04
143,2023-12-05
144,2025-08-01
145,2020-09-20
146,2023-09-04
147,2021-01-05
148,2021-11-19
149,2024-10-15
150,2022-09-24
151,2021-07-28
152,2021-04-29
153,2021-10-30
154,2024-11-23
155,2023-10-15
156,2021-01-29
157,2022-02-10
158,2023-04-14
159,2022-01-05
160,2025-05-06
161,2020-12-10
162,2021-08-02
163,2021-03-06
164,2024-04-13
165,2024-01-02
166,2024-11-07
167,2025-03-10
168,2024-02-16
169,2020-12-20
170,2022-09-04
171,2022-01-23
172,2022-07-21
173,2024-12-28
174,2025-04-05
175,2025-01-29
176,2020-11-27
177,2020-12-02
178,2023-10-04
179,2021-02-23
180,2021-05-01
181,2023-10-09
182,2020-11-07
183,2024-05-19
184,2020-12-28
185,2021-01-09
186,2024-06-17
187,2023-03-07
188,2022-03-05
189,2021-04-21
190,2021-08-01
191,2025-03-08
192,2022-06-01
193,2024-11-25
194,2022-09-25
195,2022-11-18
196,2021-05-08
197,2023-07-08
198,2021-04-28
199,2023-08-11
200,2020-12-02
201,2024-04-05
202,2022-08-01
203,2024-12-11
204,2024-06-01
205,2021-05-21
206,2023-12-19
207,2024-11-06
208,2022-11-12
209,2024-09-09
