user_id,product_id,event_type,timestamp,product_name,product_category,product_description,price,signup_date
952,3899,purchase,2024-05-04 12:42:07,Reason Much,Sports,"History instead seek bad including. Material interesting beat.
Until say onto her government. Many public its performance box. Hope put Democrat evidence painting character admit.",438.7,2023-04-21
75,158,purchase,2024-02-14 11:40:39,Campaign The,Home & Kitchen,Different material political value crime better cultural. Deal beautiful executive. Church person degree condition.,271.53,2020-09-24
929,3799,purchase,2024-02-05 06:54:03,Identify Field,Beauty,"Ok growth mention ready bad. Pay necessary culture hear consumer.
Film charge likely if dog child. Work option almost significant. Quite majority improve pull country rather rule.",411.61,2023-06-27
48,2919,purchase,2025-06-30 14:57:13,Ground Campaign,Toys & Games,"Others interview threat we upon.
Successful western decision. Dream who color mention. Section weight operation state.",284.92,2021-03-23
595,2025,purchase,2025-07-05 01:53:34,Forward Environmental,Books,"Project near share ten economic prevent. Deal fact open face actually wrong guy little. Describe instead experience race.
Push shake choose last detail blood.",307.78,2021-12-27
776,2945,purchase,2024-05-20 06:23:25,Within Somebody,Apparel,"Education wear southern anything strategy.
Represent up recent money wonder less fast.",465.42,2023-12-30
876,1611,purchase,2024-07-04 00:49:17,Especially Weight,Tools,Soon activity fine water. Worker weight all color. Rich star your claim clearly.,394.02,2021-01-29
485,3692,purchase,2024-11-18 19:11:42,Enter Rich,Home & Kitchen,"Human clear again before. Unit result reason institution. Somebody tonight such development say civil guy.
Street what actually nor meeting edge. Body care painting pick act alone.",233.59,2023-09-12
17,2627,purchase,2024-07-17 03:23:07,Area Hand,Home & Kitchen,"Deal occur democratic throughout remain find win. Quality soldier often knowledge state several pass.
Enjoy memory music speak executive cultural hour. West more contain put.",35.31,2022-08-30
838,2488,purchase,2024-08-01 23:23:24,Form Fly,Tools,Little region state quickly forget. Something husband forget animal allow particular including. Stop move dark interview far range. Research four professor specific develop great spring fund.,113.16,2022-05-21
673,4581,purchase,2023-12-24 18:30:52,None Store,Electronics,"Director light discuss beyond position development. Audience test road everything.
Spring artist interesting individual.
Pull collection television deep. Reflect address matter act city.",33.73,2025-01-07
972,2340,purchase,2024-11-29 18:23:47,Knowledge Win,Home & Kitchen,"Million imagine science part. Rule last need. Space age those threat.
Wonder represent be machine system. Plant article show beat people style idea. Man suggest ok.",30.95,2021-05-17
528,4656,purchase,2024-10-07 03:02:54,Power Determine,Books,"Stand mention moment vote area try. Institution wind size crime last. Time wrong serve they.
Financial act speech radio under. Arm need Republican like expert relate from.",378.04,2020-11-10
158,4996,purchase,2025-07-06 08:53:36,Glass Record,Beauty,"Yard everyone shake amount. Significant service east scientist agent low ten south. Market effect she.
Result we interview TV fight.
Deal language trip remember. Item discuss real board nice.",415.2,2023-04-14
398,3111,purchase,2025-08-12 05:28:57,Under Listen,Home & Kitchen,"Will like under. Time improve nice good daughter anything group.
Suffer still memory. Explain center investment. Other experience individual consider through cover believe.",101.28,2025-04-11
130,3648,purchase,2025-03-13 03:05:06,Street Who,Apparel,"Those defense culture cup admit thus choice child. Despite news term.
Painting listen term people. Might on first well term east. Piece certain believe list be fund model.",136.12,2021-02-23
639,572,purchase,2023-11-10 06:58:49,Program Many,Apparel,Close often husband another heart heart. These bill risk wonder indeed wind clear. Stand section worker range necessary worker since.,22.48,2025-04-24
372,1192,purchase,2025-02-14 01:11:46,Who Ago,Sports,"House market something. Once direction same issue nice here. Whatever not lawyer quite mission hour size house.
Trouble go official cell. Together day itself everybody door partner international.",37.67,2022-05-22
105,674,purchase,2024-11-13 05:50:51,Wonder Late,Beauty,"Institution energy successful short simple.
Teach either hundred imagine tend real leave. Ok face budget example history tend economy local. Address issue understand available new.",306.25,2024-10-15
610,305,purchase,2023-11-02 04:01:43,He Room,Tools,"Message after the big himself one. Involve man particular movement eat. Piece especially name indicate professional amount.
Natural unit book him. Stop program after minute. Not somebody meet five.",277.88,2022-06-13
295,2632,purchase,2025-02-14 01:34:44,Plan Tonight,Tools,"Walk bar that east red type. Special individual page manager possible.
Sometimes later election happy and sort wife. Official religious study have between. Chance because step.",102.98,2021-06-29
83,3313,purchase,2025-04-19 02:57:52,Artist Case,Toys & Games,"Participant plan now summer. Pm Congress another try.
Current future four large race while memory.
Type participant window you least fly.",496.08,2023-07-21
681,3041,purchase,2024-10-20 11:28:16,Likely Book,Beauty,"Attention then third position. Apply check pressure dark perform.
Stuff entire add. Choice mean million family baby. Pretty adult across international.",46.0,2024-10-13
523,1016,purchase,2024-11-20 01:48:45,Fact Everything,Tools,They career short different help. World kind computer get. Water deep interesting old institution grow. Development loss must we foot with audience.,284.25,2024-04-13
99,3680,purchase,2025-03-25 04:33:32,Bar Factor,Beauty,"Accept along organization spring. Night capital so believe someone church agent.
Yard which short old attention. Nearly news a pass. Very kitchen today look shoulder yet your.",498.18,2021-03-27
234,3327,purchase,2024-06-30 01:12:03,Window Usually,Beauty,"One big current. Whether site hit safe especially. About quality blood front detail rate paper.
Draw family soon hair thousand cell. Send those me soon son that.",53.31,2025-04-08
198,4756,purchase,2025-01-28 11:39:39,Ground Something,Apparel,"Feel ahead financial education. Real realize live wait hand condition wrong. Center world issue born.
Unit chance without baby miss.",208.68,2021-04-28
503,41,purchase,2025-01-15 07:17:50,Discuss Can,Home & Kitchen,Real good upon wear leave executive leg city. Hot seven form land just matter ever. Personal reduce source event. Tree enjoy story there under business service star.,60.61,2020-09-11
216,1343,purchase,2025-08-22 23:49:13,Thus Indeed,Books,Store explain choice no forget. Than marriage affect. Through arrive both away few building.,451.69,2025-02-08
