user_id,signup_date
1,2023-06-19
2,2022-11-15
3,2022-01-15
4,2021-09-10
5,2022-05-19
6,2021-11-27
7,2021-09-14
8,2023-11-02
9,2022-10-09
10,2022-08-12
11,2022-07-11
12,2023-03-23
13,2025-06-01
14,2023-08-15
15,2021-11-12
16,2025-05-14
17,2025-03-24
18,2023-09-19
19,2024-05-23
20,2022-05-10
21,2023-01-23
22,2021-03-09
23,2022-08-27
24,2023-10-05
25,2025-07-23
26,2023-03-05
27,2023-03-18
28,2021-07-04
29,2024-05-04
30,2024-11-27
31,2023-09-21
32,2023-05-10
33,2021-11-26
34,2022-07-05
35,2024-10-27
36,2024-01-30
37,2021-10-11
38,2025-07-19
39,2024-12-07
40,2022-01-10
41,2022-06-18
42,2022-09-11
43,2020-12-26
44,2021-03-08
45,2025-07-17
46,2020-11-18
47,2023-04-11
48,2023-10-13
49,2021-11-03
50,2021-08-15
51,2023-01-06
52,2022-03-06
53,2024-10-21
54,2020-11-16
55,2021-05-11
56,2021-02-27
57,2023-03-19
58,2024-09-02
59,2022-12-30
60,2021-03-04
61,2023-10-15
62,2022-08-23
63,2023-03-31
64,2025-03-31
65,2023-11-01
66,2023-02-06
67,2021-09-06
68,2024-02-10
69,2024-06-12
70,2024-09-25
71,2021-04-30
72,2024-02-20
73,2021-10-04
74,2021-01-03
75,2023-10-11
76,2025-04-20
77,2021-09-16
78,2024-12-25
79,2021-07-04
80,2022-01-02
81,2024-06-21
82,2024-03-09
83,2023-04-29
84,2023-10-28
85,2025-03-08
86,2023-03-13
87,2023-10-12
88,2023-02-17
89,2022-06-25
90,2024-08-21
91,2023-05-01
92,2024-02-09
93,2023-07-09
94,2021-12-25
95,2022-05-24
96,2020-10-10
97,2021-06-15
98,2020-09-13
99,2025-08-08
100,2025-05-19
101,2024-06-11
102,2023-05-26
103,2023-08-29
104,2020-10-11
105,2025-06-01
106,2024-02-22
107,2021-06-22
108,2022-04-23
109,2024-06-01
110,2025-02-08
111,2025-01-26
112,2023-07-04
113,2021-09-28
114,2024-02-07
115,2021-10-14
116,2022-06-24
117,2024-08-16
118,2021-09-10
119,2020-12-25
120,2021-09-27
121,2024-07-07
122,2023-01-13
123,2022-08-17
124,2023-03-07
125,2022-08-29
126,2022-06-20
127,2023-10-08
128,2021-08-24
129,2023-09-14
130,2023-11-25
131,2023-05-26
132,2023-09-26
133,2021-06-15
134,2025-07-05
135,2024-07-31
136,2020-09-26
137,2025-07-24
138,2020-09-14
139,2021-03-31
140,2023-05-19
141,2023-12-28
142,2025-05-09
143,2020-10-31
144,2021-07-08
145,2023-10-09
146,2023-03-28
147,2022-03-01
148,2024-01-08
149,2025-05-16
150,2022-10-02
151,2021-09-27
152,2022-07-19
153,2023-08-07
154,2023-11-23
155,2022-07-24
156,2021-10-26
157,2024-06-24
158,2021-12-21
159,2024-01-18
160,2021-08-21
161,2021-07-23
162,2020-10-28
163,2022-06-06
164,2022-08-30
165,2025-05-27
166,2025-02-01
167,2021-03-28
168,2022-09-07
169,2024-12-03
170,2025-06-14
171,2020-12-14
172,2024-12-21
173,2023-10-26
174,2023-07-22
175,2025-05-13
176,2024-06-27
177,2023-04-17
178,2024-08-31
179,2020-09-29
180,2023-02-13
181,2023-03-26
182,2022-09-03
183,2024-04-08
184,2020-12-09
185,2025-01-04
186,2022-02-24
187,2022-06-16
188,2023-09-02
189,2021-10-20
190,2021-05-27
191,2022-11-05
192,2022-04-01
193,2025-03-18
194,2022-01-26
195,2024-11-02
196,2025-04-29
197,2023-06-29
198,2024-05-12
199,2020-09-13
200,2020-09-28
201,2024-03-31
202,2021-01-25
203,2020-12-07
204,2025-05-14
205,2020-12-13
206,2022-07-21
207,2021-10-18
208,2024-08-02
209,2022-08-14
210,2023-11-17
211,2023-08-13
212,2021-09-20
213,2023-09-12
214,2024-02-07
215,2022-07-13
216,2023-11-18
217,2023-07-23
218,2024-06-16
219,2025-02-28
220,2024-07-27
221,2023-05-16
222,2022-12-27
223,2023-04-19
224,2022-12-30
225,2025-01-31
226,2021-04-30
227,2024-08-12
228,2022-12-29
229,2024-06-21
230,2022-03-07
231,2022-09-02
232,2022-04-18
233,2021-01-27
234,2021-07-26
235,2023-11-10
236,2022-04-28
237,2023-10-25
238,2024-06-17
239,2021-12-19
240,2022-05-18
241,2023-12-19
242,2021-12-03
243,2023-05-20
244,2021-11-15
245,2025-07-25
246,2021-01-01
247,2024-07-23
248,2024-12-17
249,2023-10-24
250,2025-05-27
251,2023-05-09
252,2023-12-08
253,2023-12-17
254,2020-09-10
255,2023-07-02
256,2024-12-22
257,2020-11-14
258,2023-02-10
259,2022-10-11
260,2022-12-15
261,2022-03-06
262,2022-06-24
263,2021-12-10
264,2021-12-27
265,2023-03-21
266,2024-03-03
267,2023-05-19
268,2022-10-18
269,2024-01-02
270,2023-01-09
271,2024-11-03
272,2023-05-11
273,2025-08-20
274,2023-11-06
275,2025-08-15
276,2022-12-21
277,2025-07-22
278,2021-11-15
279,2023-12-08
280,2022-02-06
281,2022-09-01
282,2025-03-14
283,2024-09-27
284,2024-06-26
285,2021-07-01
286,2021-10-11
287,2025-06-26
288,2022-12-22
289,2021-06-12
290,2024-02-23
291,2021-08-21
292,2025-05-23
293,2023-09-20
294,2021-06-27
295,2024-07-29
296,2020-10-20
297,2023-03-09
298,2022-09-15
299,2023-04-05
300,2020-12-26
301,2021-11-05
302,2022-05-29
303,2022-05-29
304,2023-08-27
305,2021-03-15
306,2023-08-31
307,2024-09-15
308,2020-11-24
309,2024-12-19
310,2022-06-10
311,2021-09-13
312,2022-02-09
313,2024-07-06
314,2023-09-09
315,2023-12-21
316,2021-05-31
317,2024-07-19
318,2022-09-18
319,2023-08-03
320,2025-03-11
321,2020-12-27
322,2025-04-09
323,2024-08-01
324,2022-12-19
325,2024-04-17
326,2023-04-13
327,2023-02-11
328,2023-12-06
329,2022-06-28
330,2023-03-15
331,2024-12-11
