user_id,product_id,rating,timestamp
279,1448,1,2024-01-01 07:47:50
385,1906,1,2024-01-12 19:14:44
740,2239,1,2024-05-11 08:04:50
407,4881,1,2024-03-22 21:42:19
55,331,1,2024-07-20 16:53:41
161,2854,3,2024-08-23 06:39:08
99,3259,1,2024-03-04 08:37:04
34,1424,1,2024-04-17 05:49:42
135,3201,1,2024-10-05 01:56:57
472,4425,1,2024-12-22 10:02:35
61,1918,1,2025-01-03 06:52:58
333,779,3,2024-12-17 06:02:32
896,3967,1,2023-12-06 16:24:41
166,270,3,2024-02-14 05:12:07
916,535,5,2024-06-27 21:32:17
269,4787,1,2024-09-07 19:48:52
112,2494,1,2024-04-07 07:56:07
798,561,1,2023-09-14 02:43:46
901,1792,1,2024-01-13 04:34:58
245,338,1,2024-03-02 09:46:31
935,89,1,2024-09-10 09:20:05
659,3136,1,2024-03-25 03:32:06
487,3056,5,2024-03-20 11:50:33
490,2204,1,2024-08-19 04:07:47
897,2818,5,2025-06-23 08:09:27
157,4254,3,2023-12-27 04:26:02
350,3244,3,2024-06-19 03:47:35
691,2042,1,2025-03-10 23:38:45
917,948,1,2023-12-27 15:44:20
227,237,1,2024-07-06 15:37:43
16,3693,3,2024-02-29 07:24:07
30,2068,1,2023-11-18 23:21:10
413,924,1,2023-12-10 17:49:54
981,4336,5,2024-11-21 06:59:25
623,306,1,2023-10-28 15:17:32
685,4349,1,2024-12-01 19:46:12
550,1927,1,2024-12-03 20:45:05
792,33,1,2024-01-07 03:00:09
545,1082,1,2024-04-07 04:08:56
531,3038,1,2025-01-11 05:28:05
213,3597,3,2024-10-09 19:31:16
827,1521,1,2024-09-27 13:26:15
312,194,1,2025-08-05 04:29:01
165,4429,1,2025-04-07 03:51:13
801,3938,1,2024-12-10 06:37:38
437,1469,1,2025-05-13 14:40:29
681,2419,1,2024-11-09 21:16:28
580,3609,1,2025-08-27 23:40:00
202,4948,1,2025-03-21 22:23:36
220,865,1,2023-09-12 13:08:52
874,381,1,2023-08-30 06:03:10
539,4352,3,2024-03-31 01:25:43
844,2332,5,2024-01-23 21:04:31
233,4773,1,2024-01-08 14:57:56
659,262,1,2024-07-15 06:46:09
199,2589,1,2025-04-10 23:30:37
651,3238,1,2024-01-19 10:21:56
811,2484,5,2024-01-03 23:48:06
149,2419,1,2024-01-30 05:20:30
833,1911,1,2024-01-09 07:53:15
620,1147,3,2024-12-18 06:03:18
397,480,1,2024-08-12 21:25:39
